,Date,Symbol,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
50504,2016-06-02,AAPL,97.6,97.84,96.63,97.72,40191600.0,0.0,1.0,95.383268580268,95.617817601367,94.435299619993,95.500543090818,40191600.0
50991,2016-06-03,AAPL,97.79,98.27,97.45,97.92,28504888.0,0.0,1.0,95.56895322197201,96.03805126417,95.236675442081,95.6960006084,28504888.0
51478,2016-06-06,AAPL,97.99,101.89,97.55,98.63,23292504.0,0.0,1.0,95.76441073955401,99.575832332413,95.334404200873,96.389874795818,23292504.0
51965,2016-06-07,AAPL,99.25,99.87,98.96,99.03,22409450.0,0.0,1.0,96.99579310032401,97.60171140483,96.712379699829,96.78078983098301,22409450.0
52452,2016-06-08,AAPL,99.02,99.56,98.68,98.94,20848131.0,0.0,1.0,96.771016955104,97.298752252577,96.43873917521401,96.692833948071,20848131.0
52939,2016-06-09,AAPL,98.5,99.99,98.46,99.65,26601354.0,0.0,1.0,96.26282740938998,97.71898591537901,96.223735905873,97.386708135489,26601354.0
53426,2016-06-10,AAPL,98.53,99.3457,98.48,98.83,31712936.0,0.0,1.0,96.292146037027,97.08931952248699,96.243281657631,96.585332313401,31712936.0
53913,2016-06-13,AAPL,98.69,99.12,97.1,97.34,38020494.0,0.0,1.0,96.448512051093,96.868745713895,94.89462478631201,95.12917380741101,38020494.0
54400,2016-06-14,AAPL,97.32,98.475,96.75,97.46,31931944.0,0.0,1.0,95.109628055653,96.238395219692,94.55257413054301,95.24644831796,31931944.0
54887,2016-06-15,AAPL,97.82,98.41,97.03,97.14,29445227.0,0.0,1.0,95.59827184960899,96.17487152647699,94.82621465515801,94.933716289828,29445227.0
55374,2016-06-16,AAPL,96.45,97.75,96.07,97.55,31326815.0,0.0,1.0,94.259387854169,95.52986171845501,93.888018570762,95.334404200873,31326815.0
55861,2016-06-17,AAPL,96.62,96.65,95.3,95.33,61008219.0,0.0,1.0,94.425526744114,94.454845371751,93.135507128069,93.164825755707,61008219.0
56348,2016-06-20,AAPL,96.0,96.57,95.03,95.1,34411901.0,0.0,1.0,93.819608439608,94.376662364718,92.871639479333,92.94004961048701,34411901.0
56835,2016-06-21,AAPL,94.94,96.35,94.676,95.91,35546358.0,0.0,1.0,92.783683596421,94.161659095377,92.525679673212,93.73165255669599,35546358.0
57322,2016-06-22,AAPL,96.25,96.89,95.35,95.55,29219122.0,0.0,1.0,94.063930336586,94.68939439285,93.184371507465,93.379829025047,29219122.0
